To	United States	Canada	Mexico	Bolivia	Other South and Cental America	Netherlands	Norway	United Kingdom	Other Europe	Kazakhstan	Russian Federation	Turkmenistan	Other Former Soviet Union	Iran	Qatar	Algeria	Libya	Other Africa	Indonesia	Myanmar	Other Asia Pacific
United States	0	83.3	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Canada	27.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mexico	17.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Argentina	0	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brazil	0	0	0	10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Other S. and Central America	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Austria	0	0	0	0	0	0	1.3	0	1.6	0	4.7	0	0	0	0	0	0	0	0	0	0
Belgium	0	0	0	0	0	5.2	9.0	4.6	0	0	7.3	0	0	0	0	0	0	0	0	0	0
Czech Republic	0	0	0	0	0	0	3.4	0	0	0	6.6	0	0	0	0	0	0	0	0	0	0
Finland	0	0	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0
France	0	0	0	0	0	9.4	17.9	0	0.4	0	7.3	0	0	0	0	0	0	0	0	0	0
Germany	0	0	0	0	0	25.3	30.8	0	0.8	0	30.0	0	0	0	0	0	0	0	0	0	0
Greece	0	0	0	0	0	0	0	0	0.6	0	2.3	0	0	0	0	0	0	0	0	0	0
Hungary	0	0	0	0	0	0	0	0	1.1	0	4.8	0	0	0	0	0	0	0	0	0	0
Ireland	0	0	0	0	0	0	0	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0
Italy	0	0	0	0	0	6.8	6.3	0	5.9	0	13.6	0	0	0	0	20.6	6.5	0	0	0	0
Netherlands	0	0	0	0	0	0	8.0	2.1	2.3	0	2.1	0	0	0	0	0	0	0	0	0	0
Poland	0	0	0	0	0	0	0	0	2.0	0	9.0	0	0	0	0	0	0	0	0	0	0
Slovakia	0	0	0	0	0	0	0	0	0.3	0	3.8	0	0	0	0	0	0	0	0	0	0
Spain	0	0	0	0	0	0	2.3	0	0.7	0	0	0	0	0	0	10.2	0	0	0	0	0
Turkey	0	0	0	0	0	0	0	0	0	0	24.5	0	2.9	7.5	0	0	0	0	0	0	0
United Kingdom	0	0	0	0	0	7.3	26.8	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0
Other Europe	0	0	0	0	0	0.6	0.8	0	7.4	0	10.9	0	0	0	0	1.9	0	0	0	0	0
Belarus	0	0	0	0	0	0	0	0	0	0	18.3	0	0	0	0	0	0	0	0	0	0
Russian Federation	0	0	0	0	0	0	0	0	0	11.0	0	9.9	8.9	0	0	0	0	0	0	0	0
Ukraine	0	0	0	0	0	0	0	0	0	0	29.8	0	0	0	0	0	0	0	0	0	0
Other Former Soviet Union	0	0	0	0	0	0	0	0	0	0.3	7.9	0.9	3.9	0.9	0	0	0	0	0	0	0
Iran	0	0	0	0	0	0	0	0	0	0	0	9.0	0.4	0	0	0	0	0	0	0	0
United Arab Emirates	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.3	0	0	0	0	0	0
Other Middle East	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0.6	0	0	0
South Africa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	0	0	0
Other Africa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0.4	0	0	0
Australia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
China	0	0	0	0	0	0	0	0	0	0	0	21.3	0.2	0	0	0	0	0	0	0	0
Hong Kong	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Malaysia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0
Singapore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9	0	
Thailand	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0
