To	United States	Brazil	Trinidad and Tobago	Peru	Norway	Other Europe	Russian Federation	Oman	Qatar	United Arab Emirates	Yemen	Algeria	Egypt	Equatorial Guinea	Nigeria	Australia	Brunei	Indonesia	Malaysia
United States	0	0	3.2	0	0.2	0	0	0	1.0	0	0.6	0	0.1	0	0	0	0	0	0
Canada	0	0	0.8	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
Mexico	t	0	0.2	1.2	0	0	0	0	1.7	0	0.4	0	0	0	1.1	0	0	0.3	0
Argentina	0	0.4	3.7	0	0.2	0.7	0	0	0.1	0	0	0	0.1	0	0	0	0	0	0
Brazil	0.2	0	0.8	0	0.2	0.4	0	0	1.1	0	0	0	0	0	0.5	0	0	0	0
Chile	0	0	3.1	0	0.1	0	0	0	0	0	0.3	0	0.3	0.4	0	0	0	0	0
Other South and Cental America	0	0	2.4	0	0.1	0	0	0	0.2	0	0	0	0	0	0.1	0	0	0	0
Belgium	0	0	0	0	0	0	0	0	4.5	0	0	0	0	0	0	0	0	0	0
France	0	0	0	0	0.2	0	0	0	1.8	0	0	4.8	0.9	0	2.7	0	0	0	0
Italy	0	0	0	0	0.1	0.1	0	0	5.8	0	0	1.0	0.2	0	0	0	0	0	0
Spain	0	0	2.5	2.6	1.7	0.7	0	0	4.3	0	0	3.6	0.7	0	5.4	0	0	0	0
Turkey	0	0	0	0	0.2	0.2	0	0	1.2	0	0	4.1	0.5	0	1.5	0	0	0	0
United Kingdom	0	0	0	0	0.2	0	0	0	13.3	0	0	0.1	t	0	t	0	0	0	0
Other Europe	0.1	0	0.2	0	0.8	0.2	0	0	0.2	0	0	0.8	0.2	0.1	2.0	0	0	0	0
Other Middle East	0	0	0.4	0	0.2	0	0	0	2.9	0.1	0	0	0.2	0	0.8	0.1	0	0	0
China	0	0	0.2	0	0	0	0.5	0.1	6.8	0	0.8	0.1	0.4	0	0.4	4.8	0	3.3	2.5
India	0.1	0	0	0	0	0.2	0	0	16.1	0	0.6	0.6	0.8	0	2.1	0	0	0.2	0
Japan	0.4	0.1	0.4	1.1	0.6	0.5	11.3	5.4	21.3	7.5	0.4	0.2	1.4	3.8	6.5	21.6	8.0	8.4	19.9
South Korea	0	0	1.1	0	0.1	0.2	3.0	5.7	14.2	0	3.6	0	0.8	0.5	2.5	1.1	1.1	10.3	5.6
Taiwan	0	0	0.1	0	0.1	0.1	0	0	7.9	0	0	0	0.3	0.2	1.6	0.3	0	2.6	3.8
Thailand	0	0	0.1	0.4	0	0	0	0	0.3	0	0.5	0	0	0	0.1	0	0	0	0
